t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-01-03,1.730587,0.021805,0.395433,,-0.054238,3.605104,3.915205,1.883326,-0.912987,,,2.671726,-1.288777,,,2.649697,2.249105,,-1.035439,,1.809628,,,,1.632883,,,,0.50166,,,,,-1.429282,,,0.544869,-0.750718,1.130927,1.556873,,,,-0.728244,,-1.663659,4.760561,1.835023,2.467486,3.453856,,-0.580306,3.132486,0.546168,,-1.077705
2005-01-04,3.87972,2.444024,1.135576,,2.918098,5.242279,5.448651,4.046326,1.880805,,,4.789398,2.42682,,,4.40037,3.462196,,2.43752,,3.921762,,,,2.198674,,,,2.345066,,,,,2.454014,,,3.216511,1.444598,2.15612,3.649911,,,,0.688142,,0.583373,8.229136,3.823865,3.603056,1.866608,,0.553504,4.590136,3.013374,,1.47689
2005-01-05,3.434618,3.93131,-0.081819,,5.021939,4.373857,5.637388,4.012181,0.019571,,,4.637556,4.183173,,,6.158232,3.200352,,0.359327,,6.351209,,,,3.442653,,,,0.825207,,,,,1.609878,,,4.14669,0.112092,1.418654,5.63414,,,,2.084366,,-2.055194,10.451917,2.080009,-0.451686,-1.44431,,-2.016922,3.342034,4.060337,,2.710727
2005-01-06,-0.268503,4.310953,2.341114,,4.080339,5.734524,9.70393,2.948339,0.090374,,,7.00189,4.519584,,,1.658056,3.093348,,-0.232961,,5.239845,,,,5.761502,,,,-0.319527,,,,,2.075094,,,1.778537,1.089355,0.967371,7.23295,,,,2.085373,,0.594135,10.280136,0.97273,2.676498,-0.364315,,-2.8751,-0.205119,2.157137,,5.156419
2005-01-07,0.232914,5.64681,3.69867,,4.267822,4.592803,3.636396,1.664483,1.067988,,,6.871908,6.717024,,,2.694641,3.418986,,1.241355,,3.622044,,,,9.677,,,,-1.030339,,,,,4.303335,,,3.625736,3.470693,2.356112,10.790838,,,,4.507708,,0.778848,8.611789,1.6195,4.983384,-0.911084,,-4.955343,0.64462,2.894643,,6.892553
2005-01-10,-0.346763,8.788073,4.132421,,4.326714,3.410693,4.069129,0.241248,1.113065,,,5.89409,5.427207,,,1.018175,0.137353,,1.138263,,1.377393,,,,9.366758,,,,2.21034,,,,,6.050009,,,4.757696,3.179375,2.578431,10.870608,,,,8.009315,,1.363733,2.422424,1.874715,4.661565,2.6707,,-2.458657,-0.285102,4.208061,,2.346623
2005-01-11,0.111634,11.101329,1.656603,,4.716235,3.657441,3.701692,-0.273238,3.574099,,,2.275865,5.172733,,,0.185261,0.222413,,2.723346,,2.08891,,,,8.448866,,,,3.884123,,,,,3.840604,,,3.239505,2.426742,1.464608,7.857633,,,,3.358572,,3.606234,2.282988,-0.267735,3.078068,3.224388,,-1.774336,0.931623,1.247217,,2.7877
2005-01-12,-0.852967,5.651659,-0.547576,,0.755077,1.988684,2.310745,-2.263918,2.749579,,,2.685454,3.243649,,,-1.718028,-2.356617,,2.156083,,0.054479,,,,2.410884,,,,2.430631,,,,,0.455958,,,1.891743,2.811256,0.213251,4.970486,,,,1.256081,,0.423616,-0.602923,0.838701,2.836654,3.335793,,-3.735423,0.031028,0.9985,,0.051355
2005-01-13,-0.158013,6.668076,1.704702,,-2.279469,3.698056,-0.997199,-7.578349,2.851942,,,2.904791,1.94307,,,-0.718689,-0.066412,,1.185858,,-0.412016,,,,-0.591076,,,,4.184696,,,,,1.342182,,,3.336227,3.515015,-2.54002,1.80166,,,,2.823057,,-0.026054,-1.233738,-0.058397,3.073975,4.169038,,-0.713103,-0.29639,-0.930126,,-1.449526
2005-01-14,-1.802435,0.188156,0.620202,,-5.113284,0.861568,-3.24784,-10.293022,2.531486,,,0.025438,-0.267297,,,-2.779829,-1.166846,,1.942499,,-0.36795,,,,-2.359997,,,,5.516353,,,,,-0.382134,,,4.389861,-0.250149,-4.508496,-0.505956,,,,2.683863,,-0.296973,-3.943843,-0.273622,2.208382,-0.444632,,-2.345881,-2.509696,-0.970562,,-3.236006
