t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-01-03,45.8466,39.8955,17.521205,46.667887,19.05318,19.711178,11.743176,21.664902,16.787895,,4.633858,46.55397,17.43029,1.8352,10.365,28.772561,6.201433,23.013117,41.37428,21.985622,32.239635,25.388436,25.388436,,14.968238,,,27.633905,27.633905,11.577728,,25.388436,,29.443306,2.2963,2.2963,7.808235,18.7883,24.7124,38.517564,,,35.2389,5.329133,20.95,28.96,32.165719,16.0163,22.94987,29.390111,,20.434832,15.995224,29.991,,50.7604
2005-01-04,45.8103,39.9288,17.329738,46.319778,18.938198,19.643724,11.647966,21.796096,16.767126,,4.555906,46.206594,17.3768,1.8626,10.24,28.556832,6.191296,23.320136,41.815761,21.740236,32.123404,25.286484,25.286484,,14.759227,,,27.340468,27.340468,11.208499,,25.286484,,29.458765,2.2006,2.2006,7.862245,18.6712,24.4285,38.243138,,,35.2898,5.278192,21.31,28.74,31.863555,16.2299,22.722644,28.797392,,20.211238,16.004092,30.34,,50.4923
2005-01-05,45.3294,40.0037,17.034457,45.892188,18.997662,19.448159,11.563979,21.628379,16.471335,,4.443528,45.780096,17.733282,1.8763,10.07,28.437846,6.132547,22.888394,40.803501,21.461483,32.319617,25.082675,25.082675,,14.690727,,,27.007961,27.007961,11.31142,,25.082675,,29.086619,2.0944,2.0944,7.848126,18.41,24.1354,38.287668,,,35.2643,5.261226,21.49,28.07,31.959723,15.9295,22.085422,28.079927,,19.79436,15.826448,30.3275,,50.2837
2005-01-06,44.6487,40.1786,17.385526,46.667887,19.02143,19.596487,11.726341,21.628379,16.518067,,4.479501,46.55397,17.862431,1.8822,10.235,28.2667,6.156876,22.782926,40.727329,22.680162,32.36326,25.097293,25.097293,,14.809635,,,27.014458,27.014458,11.244818,,25.097293,,29.24168,2.1625,2.1625,7.792755,18.5361,24.1537,38.562004,,,35.3407,5.271423,21.26,28.6,32.158843,15.8561,22.964689,28.360631,,19.770166,15.604467,30.0761,,51.0137
2005-01-07,44.676,40.1953,17.425426,46.606831,18.981787,19.502105,11.597555,21.446125,16.528452,,4.473495,46.492972,18.271326,1.8179,10.365,28.311381,6.164986,22.850077,41.10791,22.397378,32.130618,25.082675,25.082675,,14.831328,,,26.844911,26.844911,11.214536,,25.082675,,29.51306,2.1156,2.1156,7.907325,18.6622,24.1995,38.895714,,,35.8326,5.303341,21.29,28.52,32.10393,15.9028,24.268772,28.150078,,19.407613,15.69324,30.2081,,50.9914
2005-01-10,44.7213,40.6199,17.569049,46.832827,19.100715,19.56956,11.72073,21.402334,16.590672,,4.489965,46.71845,18.328676,1.8706,10.285,28.311381,6.116327,23.032373,41.2373,22.73012,32.065244,25.060889,25.060889,,14.91414,,,27.216579,27.216579,11.075394,,25.060889,,29.893029,2.1469,2.1469,8.010412,18.7343,24.3277,39.867156,,,36.299,5.386844,21.37,28.71,32.007761,16.0296,24.451541,29.386247,,19.613039,15.684372,30.6732,,50.7679
2005-01-11,44.6034,40.6699,17.321703,46.289201,19.017484,19.488596,11.67032,21.249244,17.068108,,4.136301,46.176095,18.285686,1.8633,10.27,28.088172,6.096053,22.591052,41.59502,22.405626,32.094279,24.922532,24.922532,,14.831328,,,27.268734,27.268734,10.984547,,24.922532,,29.60619,2.1719,2.1719,7.933096,18.5722,24.0988,39.652105,,,36.2482,5.316923,20.75,28.95,31.870431,15.7225,24.056364,29.425187,,19.510326,15.728807,30.0698,,50.6859
2005-01-12,44.6215,40.7449,17.210037,46.661811,18.961966,19.535832,11.698376,21.234617,17.073301,,4.293629,46.547831,18.278506,1.8576,10.22,28.050971,6.025139,22.936387,41.640649,22.413968,32.014387,24.91527,24.91527,,14.831328,,,27.301398,27.301398,11.069259,,24.91527,,29.381282,2.1638,2.1638,7.937009,18.6802,24.1629,39.75592,,,36.0785,5.311482,23.53,28.59,31.746852,15.9629,24.239133,29.63574,,19.153888,15.702108,30.2961,,50.4355
2005-01-13,44.5671,40.8031,17.433461,46.557927,18.688323,19.663942,11.524791,21.088796,17.057723,,4.287623,46.444252,18.145768,1.8215,10.1,28.021249,6.079833,22.744512,41.27534,22.501325,31.876334,24.857079,24.857079,,14.679925,,,27.438281,27.438281,10.893798,,24.857079,,29.489871,2.2313,2.2313,8.023255,18.6442,23.8789,39.244267,,,36.104,5.357624,23.63,28.39,31.588894,15.8293,24.313229,29.698162,,19.365341,15.613334,29.8875,,49.9646
2005-01-14,44.5217,40.6449,17.481305,46.667887,18.61702,19.690869,11.502346,21.161752,17.192727,,4.340128,46.55397,18.163717,1.8352,10.25,28.021249,6.077805,22.878815,41.739682,22.547065,32.196082,24.91527,24.91527,,14.762828,,,27.8067,27.8067,11.014829,,24.91527,,29.489871,2.3256,2.3256,8.158493,18.6532,23.9064,39.177562,,,36.2312,5.413321,23.9,28.59,31.616304,15.9228,24.431782,28.863679,,19.093448,15.488994,30.1578,,50.1141
2005-01-18,44.5489,41.3944,18.502554,46.918384,18.918377,20.102307,11.62552,21.628379,17.81027,,4.365576,46.803711,18.586973,1.8143,10.25,28.534491,6.268339,23.310557,42.47789,23.179275,32.690312,25.060889,25.060889,,14.863733,,,28.266435,28.266435,10.899835,,25.060889,,30.133396,2.4375,2.4375,8.237084,18.9414,23.998,39.666948,,,36.6213,5.492068,24.21,29.55,31.93222,16.2232,24.649129,29.089887,,19.73392,15.75541,30.5098,,50.3458
2005-01-19,44.558,41.1779,18.598334,46.380834,18.95802,20.189889,11.580721,21.453394,17.618239,,4.370096,46.267494,18.716121,1.8395,10.19,28.348582,6.217464,23.291301,42.60728,22.917299,32.450456,24.988079,24.988079,,14.809635,,,27.74471,27.74471,11.051148,,24.988079,,29.986065,2.4,2.4,8.18554,18.8424,24.5293,40.067455,,,36.2227,5.50972,24.01,29.68,31.959723,16.2099,24.45648,29.070368,,19.365341,15.808713,29.9567,,50.6299
2005-01-20,44.3402,40.9031,18.614312,46.301451,18.961966,20.169671,11.62552,21.351274,17.654586,,4.293629,46.188275,18.777061,1.7602,10.18,28.140234,6.317187,23.540747,42.77471,22.850751,32.2106,24.835199,24.835199,,14.892537,,,27.862103,27.862103,11.141897,,24.835199,,30.28855,2.2931,2.2931,8.126257,19.0225,24.4193,39.711479,,,35.8326,5.435686,24.11,30.04,32.145092,16.3835,24.407083,28.820776,,19.365341,15.595599,29.831,,52.0801
2005-01-21,44.2494,41.1029,18.07972,48.811914,18.894519,20.230416,12.011971,21.16902,17.55593,,4.36409,48.692697,18.619192,1.7696,10.085,28.043589,6.343638,23.713464,42.54638,22.97963,32.196082,24.726079,24.726079,,14.741224,,,27.836026,27.836026,11.214536,,24.726079,,30.110207,2.3444,2.3444,8.081177,18.8604,24.2819,39.726323,,,35.9768,5.380032,23.7,30.29,32.035264,16.5036,24.357686,29.043021,,19.365341,15.577767,29.5921,,52.7753
2005-01-24,44.4854,41.0613,18.223343,49.294484,18.815234,19.994415,11.860739,21.329469,17.395053,,4.368548,49.174152,18.594153,1.7674,9.835,28.050971,6.282579,23.934076,42.08972,23.624305,32.2106,24.311105,24.311105,,14.759227,,,28.038147,28.038147,11.160106,,24.311105,,30.117937,2.3931,2.3931,8.005223,18.6893,23.8881,39.533446,,,35.5103,5.396998,23.35,30.35,31.815517,16.6572,24.174917,29.097616,,19.377393,15.568899,29.3595,,52.8126
2005-01-25,44.558,40.6616,18.071685,50.302354,18.779537,19.839288,12.067993,21.205453,17.203112,,4.395543,50.179545,18.612102,1.7313,9.65,27.984047,6.256128,21.967533,42.789981,23.374796,32.312314,24.041843,24.041843,,14.860132,,,28.109882,28.109882,10.911908,,24.041843,,29.737968,2.4338,2.4338,8.021979,18.6352,24.4193,39.592821,,,35.5273,5.424846,23.05,29.97,31.540763,15.2886,24.002028,28.563456,,19.329094,15.577767,29.3721,,52.708
2005-01-26,44.2041,40.8365,18.071685,50.186317,18.815234,19.913452,12.051158,21.001303,17.296486,,4.403035,50.063786,18.680222,1.7342,9.93,27.686534,6.313085,21.670191,43.277091,23.541167,32.188779,24.180105,24.180105,,15.018646,,,28.17512,28.17512,11.32953,,24.180105,,27.915701,2.3925,2.3925,7.964056,18.9324,24.3827,39.607665,,,35.629,5.359681,22.95,30.51,31.465222,15.0816,24.204555,28.602396,,19.468054,15.790978,29.4727,,51.5419
